air_name,air_hindex,air_research_gate_score,air_link,air_designation,air_education,air_papers,air_citations,air_city,air_expertise,,,,,,,,,,,
Vishnu Vardhan Makkapati,5,,https://scholar.google.com/citations?user=Ib_LM-8AAAAJ&hl=en,IIIT Delhi,,21,114,Bengaluru,"Machine Learning, Biometrics, Pattern Recognition 
",,,,,,,,,,,
"Ritesh Ratti
",4,,https://scholar.google.com/citations?user=Q1uJZBkAAAAJ&hl=en,"Artificial Intelligence,  - Senior Consultant, EY GDS",,5,44,Guwahati,"Machine Learning, Kernel Methods, Artificial Intelligence, ",,,,,,,,,,,
Pragati Kapoor,4,,https://scholar.google.com/citations?user=7Jm4_McAAAAJ&hl=en,Times Internet Limited - Times Business Solutions,,13,77,Faridabad,"deep learning, Text Analytics, Recommendation System",,,,,,,,,,,
Santosh Chapaneri,3,,https://scholar.google.com/citations?user=p51bKXMAAAAJ&hl=en,Research Scholar of Burdwan University,,15,21,Mumbai,"Sentiment Analysis, Opinion Mining, Information Retrieval, Text Classification, Natural Language Processing",,,,,,,,,,,
Ravindra Babu T,3,,,,,7,12,Bengaluru,,,,,,,,,,,,
Pattisapu Nikhil Priyatam,2,,,,,3,8,Hyderabad,,,,,,,,,,,,
Shreetam Behera,1,,,,,3,8,Bhubhaneshwar,,,,,,,,,,,,
Aditya Ramana Rachakonda,1,,,,,4,4,Bengaluru,,,,,,,,,,,,
Sreekanth Vempati,2,,,,,5,53,Hyderabad,,,,,,,,,,,,
Samik Datta,0,,,,,0,0,Bengaluru,,,,,,,,,,,,
Prachi Jain,0,,,,,0,0,New Delhi,,,,,,,,,,,,
Vikram Garg,2,,,,,3,6,Bengaluru,,,,,,,,,,,,
Yogesh Kulkarni,0,,,,,0,0,Pune,,,,,,,,,,,,
Yogesh Parte,0,,,,,0,0,Mumbai,,,,,,,,,,,,
Samik Banerjee,0,,,,,0,0,Chennai,,,,,,,,,,,,
Rohit Keshari,0,,,,,0,0,New Delhi,,,,,,,,,,,,
